Site,Germ_Per,Day_Till,Color,Decid,Lat,Long,Elevation_m
Tabiona,50,17,Gray,Y,40.351838,-110.71081,1985
Tabiona,10,5,Green,N,40.351838,-110.71081,1985
Tabiona,30,9,Gray,Y,40.351838,-110.71081,1985
Tabiona,50,11.8,Green,N,40.351838,-110.71081,1985
Provo_Overlook,30,50,Gray,N,40.323498,-111.632593,1612
Canyon_View,20,41.5,Gray,Y,40.325054,-111.644137,1491
Canyon_View,30,9,Gray,Y,40.325054,-111.644137,1491
Canyon_View,30,10.3,Green,Y,40.325054,-111.644137,1491
Canyon_View,50,14,Green,Y,40.325054,-111.644137,1491
Vineyard,20,7,NA,NA,NA,NA,NA
Provo_River_Trail,20,5.5,NA,NA,NA,NA,NA
Lehi_Highway,40,15.75,Green,Y,40.443688,-111.906525,1406
Lehi_Highway,50,12.4,Green,Y,40.443688,-111.906525,1406
Lehi_Highway,20,5,Gray,N,40.443688,-111.906525,1406
Lehi_Highway,40,13,Gray,N,40.443688,-111.906525,1406
MTEC_Lehi,70,7.57,Green,Y,40.421859,-111.892147,1383
MTEC_Lehi,80,6.25,Green,Y,40.421859,-111.892147,1383
MTEC_Lehi,10,53,Gray,Y,40.421859,-111.892147,1383
Washington,10,5,NA,NA,NA,NA,NA
Inlet_Park,20,5,Gray,N,40.357317,-111.898213,1371
Inlet_Park,30,4,Gray,N,40.357317,-111.898213,1371
Inlet_Park,80,17.8,Green,Y,40.357317,-111.898213,1371
Inlet_Park,50,15.2,Green,Y,40.357317,-111.898213,1371
Bluffdale,20,10,Gray,N,40.480125,-111.925104,1363
Bluffdale,50,25,Green,N,40.480125,-111.925104,1363
Bluffdale,30,19,Green,N,40.480125,-111.925104,1363
Bluffdale,40,12,Gray,N,40.480125,-111.925104,1363
Midvale,40,5,Gray,N,40.599478,-111.919122,1306
Midvale,50,8,Gray,N,40.599478,-111.919122,1306
Midvale,80,15,Green,N,40.599478,-111.919122,1306
Midvale,70,20,Green,N,40.599478,-111.919122,1306
Provo_Mouth,10,8,Gray,Y,40.309836,-111.656777,1465
Provo_Mouth,20,15,Gray,Y,40.309836,-111.656777,1465
Provo_Mouth,70,22,Green,Y,40.309836,-111.656777,1465
Provo_Mouth,50,29,Green,Y,40.309836,-111.656777,1465
