Site,Color,Deciduous,Corolla_length,Corolla_width,Anther_length
Midvale,Gray,FALSE,5,1,2.5
Midvale,Gray,FALSE,5,1.25,3
Midvale,Gray,FALSE,5,1,3
Midvale,Gray,FALSE,5.5,1,2
Midvale,Gray,FALSE,5.5,1,2
Midvale,Green,FALSE,4,1.25,3.5
Midvale,Green,FALSE,4.25,1,2.25
Midvale,Green,FALSE,4,1,3
Midvale,Green,FALSE,4.5,1.25,3
Midvale,Green,FALSE,4.5,1,3
Inlet_Park,Gray,FALSE,5,1,5.5
Inlet_Park,Gray,FALSE,5,1,2.5
Inlet_Park,Gray,FALSE,5,1,4
Inlet_Park,Gray,FALSE,5,1,3.5
Inlet_Park,Gray,FALSE,4,1,3
Inlet_Park,Green,TRUE,4,0.75,1.5
Inlet_Park,Green,TRUE,3.5,1,1.5
Inlet_Park,Green,TRUE,4,1,1.5
Inlet_Park,Green,TRUE,3.5,0.75,1.5
Inlet_Park,Green,TRUE,3,1,4
Bluffdale,Gray,FALSE,5,1,3.5
Bluffdale,Gray,FALSE,5,1,3
Bluffdale,Gray,FALSE,5,1,4
Bluffdale,Gray,FALSE,4.5,1,3
Bluffdale,Gray,FALSE,4,1,3.5
Bluffdale,Gray,FALSE,8,1.25,3
Bluffdale,Gray,FALSE,6.5,1.25,3
Bluffdale,Gray,FALSE,7,1,2.5
Bluffdale,Gray,FALSE,7,1,3
Bluffdale,Gray,FALSE,7.5,1.25,3.25
Bluffdale,Green,FALSE,4,1,3
Bluffdale,Green,FALSE,4.5,1,3
Bluffdale,Green,FALSE,4,1,4
Bluffdale,Green,FALSE,4.5,1,3.5
Bluffdale,Green,FALSE,5,1,2.5
Provo_Mouth,Gray,TRUE,6.5,2,4
Provo_Mouth,Gray,TRUE,6,1,4
Provo_Mouth,Gray,TRUE,5.5,1,2
Provo_Mouth,Gray,TRUE,5.5,1,3
Provo_Mouth,Gray,TRUE,5.5,1,2
Provo_Mouth,Gray,TRUE,7,1.5,2.5
Provo_Mouth,Gray,TRUE,7.5,1.5,3.5
Provo_Mouth,Gray,TRUE,5.5,1,3
Provo_Mouth,Gray,TRUE,7,1.5,3.5
Provo_Mouth,Gray,TRUE,6,1.5,3
Provo_Mouth,Green,TRUE,6,1,1.5
Provo_Mouth,Green,TRUE,5.5,1,2.5
Provo_Mouth,Green,TRUE,5.5,1,3
Provo_Mouth,Green,TRUE,4.5,0.8,2.25
Provo_Mouth,Green,TRUE,4.5,0.8,2
Canyon_View,Gray,TRUE,7,1.25,3
Canyon_View,Gray,TRUE,7,1,2
Canyon_View,Gray,TRUE,6,1,2
Canyon_View,Gray,TRUE,6,1.5,2.5
Canyon_View,Gray,TRUE,6.5,1,2.5
Canyon_View,Gray,TRUE,6,1,3
Canyon_View,Gray,TRUE,6,1,3
Canyon_View,Gray,TRUE,6,1,3
Canyon_View,Gray,TRUE,7,1,4
Canyon_View,Gray,TRUE,6.5,1.5,3.5
Canyon_View,Green,TRUE,6,1,1.5
Canyon_View,Green,TRUE,5.5,1,2
Canyon_View,Green,TRUE,4.8,1.5,2.15
