Site,Color,Flower_Start,Flower_End,Lat,Long,Elevation_m
Midvale,Gray,2022-09-07,2022-10-20,40.599478,-111.919122,1306
Midvale,Green,2022-08-30,2022-10-06,40.599478,-111.919122,1306
Inlet_Park,Gray,2022-08-30,2022-10-11,40.357317,-111.898213,1371
Inlet_Park,Green,2022-08-30,2022-10-02,40.357317,-111.898213,1371
Bluffdale,Gray,2022-09-13,2022-10-20,40.480125,-111.925104,1363
Bluffdale,Green,2022-09-15,2022-10-24,40.480125,-111.925104,1363
Provo_Mouth,Gray,2022-10-04,2022-10-24,40.309836,-111.656777,1465
Provo_Mouth,Green,2022-10-13,2022-10-24,40.309836,-111.656777,1465
Canyon_View,Gray,2022-09-15,2022-10-15,40.325054,-111.644137,1491
Canyon_View,Green,2022-09-22,2022-10-24,40.325054,-111.644137,1491
