Site,Date,Time_Point,Green_Green,Green_Gray,Gray_Gray,Gray_Green
Midvale,2022-10-06,Start,TRUE,FALSE,TRUE,FALSE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,FALSE,TRUE,FALSE,FALSE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,FALSE,FALSE,FALSE,TRUE
Midvale,2022-10-06,End,FALSE,TRUE,FALSE,FALSE
Midvale,2022-10-06,End,FALSE,FALSE,FALSE,TRUE
Midvale,2022-10-06,End,FALSE,FALSE,FALSE,TRUE
Midvale,2022-10-06,End,FALSE,TRUE,FALSE,FALSE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,FALSE,FALSE,FALSE,TRUE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,FALSE,FALSE,FALSE,TRUE
Midvale,2022-10-06,End,FALSE,FALSE,FALSE,TRUE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,FALSE,FALSE,FALSE,TRUE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,FALSE,FALSE,FALSE,TRUE
Midvale,2022-10-06,End,FALSE,FALSE,FALSE,TRUE
Midvale,2022-10-06,End,FALSE,FALSE,FALSE,TRUE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Midvale,2022-10-06,End,TRUE,FALSE,FALSE,FALSE
Inlet_Park,2022-10-11,Start,TRUE,FALSE,TRUE,FALSE
Inlet_Park,2022-10-11,End,FALSE,TRUE,FALSE,FALSE
Inlet_Park,2022-10-11,End,TRUE,FALSE,FALSE,FALSE
Inlet_Park,2022-10-11,End,TRUE,FALSE,FALSE,FALSE
Inlet_Park,2022-10-11,End,FALSE,TRUE,FALSE,FALSE
Inlet_Park,2022-10-11,End,TRUE,FALSE,FALSE,FALSE
Inlet_Park,2022-10-11,End,FALSE,TRUE,FALSE,FALSE
Inlet_Park,2022-10-11,End,TRUE,FALSE,FALSE,FALSE
Inlet_Park,2022-10-11,End,FALSE,FALSE,FALSE,TRUE
Inlet_Park,2022-10-11,End,TRUE,FALSE,FALSE,FALSE
Inlet_Park,2022-10-11,End,TRUE,FALSE,FALSE,FALSE
Inlet_Park,2022-10-11,End,FALSE,FALSE,FALSE,TRUE
Inlet_Park,2022-10-11,End,FALSE,TRUE,FALSE,FALSE
Inlet_Park,2022-10-11,End,FALSE,FALSE,TRUE,FALSE
Inlet_Park,2022-10-11,End,FALSE,FALSE,FALSE,TRUE
Inlet_Park,2022-10-11,End,TRUE,FALSE,FALSE,FALSE
Inlet_Park,2022-10-11,End,TRUE,FALSE,FALSE,FALSE
Inlet_Park,2022-10-11,End,FALSE,FALSE,TRUE,FALSE
Inlet_Park,2022-10-11,End,FALSE,TRUE,FALSE,FALSE
Bluffdale,2022-10-13,Start,TRUE,FALSE,TRUE,FALSE
Bluffdale,2022-10-13,End,TRUE,FALSE,FALSE,FALSE
Bluffdale,2022-10-13,End,TRUE,FALSE,FALSE,FALSE
Bluffdale,2022-10-13,End,TRUE,FALSE,FALSE,FALSE
Bluffdale,2022-10-13,End,FALSE,TRUE,FALSE,FALSE
Bluffdale,2022-10-13,End,FALSE,TRUE,FALSE,FALSE
Bluffdale,2022-10-13,End,FALSE,TRUE,FALSE,FALSE
Bluffdale,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Bluffdale,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Bluffdale,2022-10-13,End,FALSE,TRUE,FALSE,FALSE
Bluffdale,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Bluffdale,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Canyon_View,2022-10-13,Start,TRUE,FALSE,TRUE,FALSE
Canyon_View,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Canyon_View,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Canyon_View,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Canyon_View,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Canyon_View,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Canyon_View,2022-10-13,End,FALSE,TRUE,FALSE,FALSE
Canyon_View,2022-10-13,End,FALSE,TRUE,FALSE,FALSE
Canyon_View,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Provo_Mouth,2022-10-13,Start,TRUE,FALSE,TRUE,FALSE
Provo_Mouth,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Provo_Mouth,2022-10-13,End,FALSE,FALSE,TRUE,FALSE
Provo_Mouth,2022-10-13,End,FALSE,TRUE,FALSE,FALSE
